Name,Latitude,Longitude
Flensburg Hildebrandstraße,54.807701,9.467251
Flensburg Hildebrandstraße,54.807565,9.467529
Flensburg Hildebrandstraße,54.807846,9.466972
Flensburg Schulgang,54.784676,9.447346
Flensburg Schulgang,54.784676,9.447346
Flensburg Holzkrugweg,54.758051,9.396401
Flensburg Holzkrugweg,54.758086,9.396316
Flensburg Holzkrugweg,54.758023,9.3963
Flensburg Jens-Jessen-Skolen,54.807619,9.458117
Flensburg Jens-Jessen-Skolen,54.807619,9.458117
Flensburg Johannismühle,54.781032,9.449136
Flensburg Johannismühle,54.78103,9.449109
Flensburg Johannismühle,54.781036,9.449169
Flensburg Junkerhohlweg,54.798274,9.425461
Flensburg Junkerhohlweg,54.798274,9.425461
Flensburg Junkerhohlweg,54.798411,9.425161
Flensburg Jägerweg,54.760049,9.384699
Flensburg Jägerweg,54.759666,9.385671
Flensburg Jägerweg,54.760432,9.383727
Flensburg Marie-Jørgensby-Skolen,54.783136,9.448316
Flensburg Marie-Jørgensby-Skolen,54.783136,9.448316
Flensburg Marie-Jørgensby-Skolen,54.783131,9.448308
Flensburg Kantstraße,54.781568,9.452925
Flensburg Kantstraße,54.781568,9.452925
Flensburg Kantstraße,54.781578,9.453163
Flensburg Kanzleistraße,54.77852,9.446096
Flensburg Kanzleistraße,54.77852,9.446096
Flensburg Kanzleistraße,54.778514,9.44611
Flensburg Kanzleistraße Abzw.,54.782683,9.444773
Flensburg Kanzleistraße Abzw.,54.782539,9.445503
Flensburg Kanzleistraße Abzw.,54.782828,9.444043
Flensburg Katholische Kirche,54.78725,9.431318
Flensburg Katholische Kirche,54.78725,9.431318
Flensburg Katholische Kirche,54.787254,9.431364
Flensburg Kauslund,54.802747,9.488673
Flensburg Kauslund,54.802919,9.489531
Flensburg Kauslund,54.802575,9.487816
Flensburg Keitumer Weg,54.757418,9.405392
Flensburg Keitumer Weg,54.757418,9.405392
Flensburg Keitumer Weg,54.757395,9.405353
Flensburg Kiefernweg,54.810846,9.481042
Flensburg Kiefernweg,54.810846,9.481042
Flensburg Kiefernweg,54.810864,9.481073
Flensburg Klosterholzweg,54.809169,9.464062
Flensburg Klosterholzweg,54.809169,9.464062
Flensburg Kurt-Tucholsky-Schule,54.784646,9.46599
Flensburg Kurt-Tucholsky-Schule,54.78642,9.46763
Flensburg Kurt-Tucholsky-Schule/Kirche,54.78456,9.465994
Flensburg Kurt-Tucholsky-Schule/Kirche,54.78456,9.465994
Flensburg Kurt-Tucholsky-Schule/Kirche,54.784488,9.4659
Flensburg Kurt-Tucholsky-Schule/Kirche,54.784658,9.466104
Flensburg Kurt-Tucholsky-Schule/Kirche,54.784493,9.465895
Flensburg Käte-Lassen-Schule,54.787848,9.450895
Flensburg Käte-Lassen-Schule,54.787848,9.450895
Flensburg Käte-Lassen-Schule,54.787848,9.450895
Flensburg Lerchenstraße,54.798852,9.414085
Flensburg Lerchenstraße,54.798852,9.414085
Flensburg Liebigstraße,54.765881,9.435195
Flensburg Liebigstraße,54.765414,9.435198
Flensburg Liebigstraße,54.766349,9.435193
Flensburg Lilienthalstraße,54.768342,9.398506
Flensburg Lilienthalstraße,54.768153,9.398528
Flensburg Lilienthalstraße,54.768566,9.398455
Flensburg Ludwigstal,54.787526,9.451763
Flensburg Ludwigstal,54.787526,9.451763
Flensburg Ludwigstal,54.787525,9.451778
Flensburg Lundweg,54.775217,9.427342
Flensburg Lundweg,54.775217,9.427342
Flensburg Marienallee,54.77731,9.414554
Flensburg Marienallee,54.77731,9.414554
Flensburg Marienallee,54.777789,9.41501
Flensburg Marienallee,54.778249,9.41543
Flensburg Marienallee,54.778199,9.414734
Flensburg Marienhölzungsweg,54.791524,9.413004
Flensburg Marienhölzungsweg,54.791524,9.413004
Flensburg Marrensberg,54.813646,9.477566
Flensburg Marrensberg,54.813646,9.477566
Flensburg Marrensberg,54.813642,9.47741
Flensburg Martinsberg,54.778774,9.435309
Flensburg Martinsberg,54.778774,9.435309
Flensburg Martinstift,54.759485,9.454823
Flensburg Martinstift,54.759485,9.454823
Flensburg Martinstift,54.759859,9.454376
Flensburg Mathildenstraße,54.78097,9.425717
Flensburg Mathildenstraße,54.781023,9.425518
Flensburg Mathildenstraße,54.781168,9.425391
Flensburg Mathildenstraße,54.781092,9.425492
Flensburg Mathildenstraße,54.780768,9.425473
Flensburg Meierei,54.771336,9.429633
Flensburg Meierei,54.771336,9.429633
Flensburg Merkurstraße,54.791606,9.4788
Flensburg Merkurstraße,54.791929,9.478826
Flensburg Merkurstraße,54.791317,9.478936
Flensburg Moltkestraße,54.786513,9.41828
Flensburg Moltkestraße,54.786513,9.41828
Flensburg Moltkestraße,54.787461,9.418452
Flensburg Mommsenstraße,54.786266,9.446151
Flensburg Mommsenstraße,54.786266,9.446151
