Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
DESH_PR_0042,"Salemer See, Salem Promenade",See,35,Herzogtum Lauenburg,10.8288799303281,53.6569330849714,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein
DESH_PR_0043,"Sylt, List Oststrand",Küstengewässer,400,Nordfriesland,8.41591440367186,55.0093930043089,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0044,"Sylt, Hörnum Oststrand",Küstengewässer,600,Nordfriesland,8.29525416149167,54.756164390006,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein
DESH_PR_0052,"Pellworm, Schüttingen",Küstengewässer,350,Nordfriesland,8.60347205601014,54.5045530213586,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0053,"Pellworm, Hooger Föhre",Küstengewässer,400,Nordfriesland,8.59930353147588,54.5359036788404,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0055,Dagebüll,Küstengewässer,700,Nordfriesland,8.69353862399571,54.7294357356174,Cyanobakterien (Blaualgen),Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0063,Vollerwiek,Küstengewässer,250,Nordfriesland,8.7812726313678,54.2830268829881,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0064,Ladelund Badeanstalt,See,150,Nordfriesland,9.03506587848554,54.8518949752986,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0065,Badesee Niebüll Wehle,See,70,Nordfriesland,8.81292206819066,54.7870791026603,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0066,Treene Schwabstedt,Fließgewässer,80,Nordfriesland,9.1874769871618,54.3945473441629,Cyanobakterien (Blaualgen) und Zerkarien,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja
DESH_PR_0067,Treene Friedrichstadt,Fließgewässer,140,Nordfriesland,9.09387515573034,54.3812551358487,Cyanobakterien (Blaualgen) und Zerkarien,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0069,"Lüttmoorsiel, Reussenköge",Küstengewässer,320,Nordfriesland,8.87103695136256,54.5633951278057,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0070,"Sylt, List Weststrand",Küstengewässer,5700,Nordfriesland,8.37467896779009,55.0248424755258,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein
DESH_PR_0072,"Sylt, Wenningstedt",Küstengewässer,1350,Nordfriesland,8.31434087780585,54.9381769800174,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0073,"Sylt, Westerland",Küstengewässer,5800,Nordfriesland,8.29665040924067,54.9060074097821,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0074,"Sylt, Rantum",Küstengewässer,7000,Nordfriesland,8.28515913911592,54.8329560928886,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein
DESH_PR_0075,"Sylt, Hörnum Weststrand",Küstengewässer,4200,Nordfriesland,8.2815021255628,54.7703629193564,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein
DESH_PR_0076,"Föhr, Wyk",Küstengewässer,3800,Nordfriesland,8.56265995016168,54.6810136375216,Cyanobakterien (Blaualgen),Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0080,"Timmendorf, Niendorf",Küstengewässer,2165,Ostholstein,10.8266346683012,53.9956578342059,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0081,Timmendorfer Strand,Küstengewässer,3380,Ostholstein,10.78934380928,53.9986173137103,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0082,Scharbeutz,Küstengewässer,3520,Ostholstein,10.7622956504383,54.0250337022162,Cyanobakterien (Blaualgen) und Quallen,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja
DESH_PR_0083,Haffkrug,Küstengewässer,1900,Ostholstein,10.7527903359768,54.0498228094321,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0084,Sierksdorf,Küstengewässer,2100,Ostholstein,10.7750780891435,54.0670699905263,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0085,Neustadt Kiebitzberg,Küstengewässer,300,Ostholstein,10.8319043155715,54.0900296949986,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0086,"Neustadt, Pelzerhaken",Küstengewässer,700,Ostholstein,10.8591266484782,54.0899808061607,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0087,Rettin,Küstengewässer,1000,Ostholstein,10.8919521799265,54.095641042242,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0089,Grömitz,Küstengewässer,2720,Ostholstein,10.9643096785931,54.1455831601697,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0090,Lenste,Küstengewässer,5390,Ostholstein,11.0143614218471,54.1653299341144,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0091,Kellenhusen,Küstengewässer,3070,Ostholstein,11.0628039566991,54.1887896630659,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0094,Neukirchen Ostermade,Küstengewässer,4890,Ostholstein,11.0752474031033,54.3261185698281,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0095,Großenbrode Kurzentrum,Küstengewässer,1670,Ostholstein,11.0902168794819,54.3590030415659,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0098,Steinwarder,Küstengewässer,3830,Ostholstein,10.9653903173816,54.3837145844233,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0099,Weißenhäuser Strand,Küstengewässer,6000,Ostholstein,10.7933064253144,54.3147655346517,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0100,"Hemmelsdorfer See, Offendorf",See,50,Ostholstein,10.7765928207376,53.9484508300935,Zerkarien,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0101,"Pönitzer See, Klingberg",See,60,Ostholstein,10.7043728403071,54.0312177180325,Zerkarien,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0105,"Großer Plöner See, Bosau",See,60,Ostholstein,10.4270722296404,54.102897539873,Zerkarien,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
